rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0022.jpg,8.8,0.7,0.0,0.0,1.0,0,0,True,True
2,frame_0027.jpg,10.8,0.7,0.0,0.0,1.0,0,0,True,True
3,frame_0072.jpg,28.8,0.6948,0.3896,1.0,1.0,4,3,False,True
4,frame_0073.jpg,29.2,0.6644,0.3289,1.0,1.0,4,3,False,False
5,frame_0207.jpg,82.8,0.66,0.0,0.0,0.8,0,0,True,True
6,frame_0208.jpg,83.2,0.6444,0.7848,0.3333,0.76,1,1,False,False
7,frame_0290.jpg,116.0,0.644,0.3679,1.0,0.8,4,3,False,True
8,frame_0078.jpg,31.2,0.6405,0.345,1.0,0.84,4,3,False,True
9,frame_0131.jpg,52.4,0.6089,0.4337,0.6667,0.96,3,2,False,True
10,frame_0079.jpg,31.6,0.6059,0.2919,1.0,0.8,4,3,False,False
11,frame_0120.jpg,48.0,0.604,0.0,0.0,0.52,0,0,True,True
12,frame_0200.jpg,80.0,0.604,0.0,0.0,0.52,0,0,True,True
13,frame_0010.jpg,4.0,0.602,0.604,0.3333,1.0,1,1,False,True
14,frame_0216.jpg,86.4,0.5875,0.5989,0.6667,0.44,2,2,False,True
15,frame_0124.jpg,49.6,0.5853,0.2986,1.0,0.68,6,3,False,False
16,frame_0289.jpg,115.6,0.5821,0.4601,0.6667,0.76,3,2,False,False
17,frame_0197.jpg,78.8,0.58,0.0,0.0,0.4,0,0,True,False
18,frame_0070.jpg,28.0,0.5546,0.3092,0.6667,1.0,4,2,False,False
19,frame_0318.jpg,127.2,0.5529,0.4098,1.0,0.24,4,3,False,True
20,frame_0129.jpg,51.6,0.5319,0.3117,0.6667,0.88,3,2,False,False
21,frame_0287.jpg,114.8,0.5206,0.3691,0.6667,0.68,3,2,False,False
22,frame_0025.jpg,10.0,0.5055,0.411,0.3333,1.0,1,1,False,False
23,frame_0121.jpg,48.4,0.4916,0.5592,0.3333,0.56,1,1,False,False
24,frame_0286.jpg,114.4,0.4862,0.3164,0.6667,0.64,4,2,False,False
25,frame_0284.jpg,113.6,0.4784,0.3328,0.6667,0.56,3,2,False,False
26,frame_0280.jpg,112.0,0.4746,0.3891,0.6667,0.4,4,2,False,False
27,frame_0203.jpg,81.2,0.4683,0.4806,0.3333,0.64,1,1,False,False
28,frame_0088.jpg,35.2,0.4682,0.3603,0.6667,0.44,3,2,False,False
29,frame_0082.jpg,32.8,0.4642,0.2563,0.6667,0.68,3,2,False,False
30,frame_0224.jpg,89.6,0.4624,0.4767,0.6667,0.12,3,2,False,False
31,frame_0125.jpg,50.0,0.4593,0.2306,0.6667,0.72,5,2,False,False
32,frame_0206.jpg,82.4,0.4557,0.4074,0.3333,0.76,1,1,False,False
33,frame_0006.jpg,2.4,0.4492,0.2985,0.3333,1.0,2,1,False,False
34,frame_0075.jpg,30.0,0.4469,0.3099,0.3333,0.96,2,1,False,False
35,frame_0301.jpg,120.4,0.445,0.3139,0.6667,0.44,3,2,False,False
36,frame_0299.jpg,119.6,0.4445,0.481,0.3333,0.52,1,1,False,False
37,frame_0077.jpg,30.8,0.4411,0.3302,0.3333,0.88,3,1,False,False
38,frame_0071.jpg,28.4,0.4384,0.2769,0.3333,1.0,3,1,False,False
39,frame_0210.jpg,84.0,0.4349,0.3978,0.3333,0.68,2,1,False,False
40,frame_0029.jpg,11.6,0.4289,0.2579,0.3333,1.0,3,1,False,False
41,frame_0386.jpg,154.4,0.4278,0.3595,0.6667,0.24,2,2,False,False
42,frame_0279.jpg,111.6,0.4265,0.309,0.6667,0.36,4,2,False,False
43,frame_0019.jpg,7.6,0.4262,0.2524,0.3333,1.0,2,1,False,False
44,frame_0320.jpg,128.0,0.4259,0.3557,0.6667,0.24,3,2,False,False
45,frame_0074.jpg,29.6,0.4222,0.2444,0.3333,1.0,6,1,False,False
46,frame_0032.jpg,12.8,0.4196,0.2393,0.3333,1.0,3,1,False,False
47,frame_0069.jpg,27.6,0.4189,0.2378,0.3333,1.0,5,1,False,False
48,frame_0217.jpg,86.8,0.4179,0.4758,0.3333,0.4,1,1,False,False
49,frame_0112.jpg,44.8,0.4098,0.3396,0.6667,0.2,3,2,False,False
50,frame_0306.jpg,122.4,0.4051,0.3141,0.6667,0.24,3,2,False,False
51,frame_0128.jpg,51.2,0.4026,0.2693,0.3333,0.84,3,1,False,False
52,frame_0000.jpg,0.0,0.3993,0.1986,0.3333,1.0,5,1,False,False
53,frame_0278.jpg,111.2,0.3985,0.269,0.6667,0.32,4,2,False,False
54,frame_0127.jpg,50.8,0.3968,0.2736,0.3333,0.8,4,1,False,False
55,frame_0376.jpg,150.4,0.3897,0.3153,0.6667,0.16,5,2,False,False
56,frame_0288.jpg,115.2,0.3896,0.2913,0.3333,0.72,3,1,False,False
57,frame_0315.jpg,126.0,0.3887,0.3294,0.6667,0.12,3,2,False,False
58,frame_0076.jpg,30.4,0.3886,0.2093,0.3333,0.92,3,1,False,False
59,frame_0092.jpg,36.8,0.3874,0.4628,0.3333,0.28,1,1,False,False
60,frame_0293.jpg,117.2,0.387,0.2701,0.3333,0.76,3,1,False,False
61,frame_0175.jpg,70.0,0.386,0.26,0.6667,0.28,4,2,False,False
62,frame_0126.jpg,50.4,0.3835,0.263,0.3333,0.76,5,1,False,False
63,frame_0297.jpg,118.8,0.3753,0.3106,0.3333,0.6,2,1,False,False
64,frame_0198.jpg,79.2,0.3739,0.3718,0.3333,0.44,1,1,False,False
65,frame_0387.jpg,154.8,0.371,0.262,0.6667,0.2,5,2,False,False
66,frame_0118.jpg,47.2,0.3688,0.3617,0.3333,0.44,2,1,False,False
67,frame_0123.jpg,49.2,0.3559,0.2558,0.3333,0.64,5,1,False,False
68,frame_0329.jpg,131.6,0.354,0.276,0.6667,0.08,6,2,False,False
69,frame_0087.jpg,34.8,0.3522,0.3125,0.3333,0.48,3,1,False,False
